"avg_r"	"#hitsAntd"	"totalNumAnnotations"	"#hitsAntdH_i"	"numAnnotationsH_i"	"csvListOfPairedRs"	"scoreDistribution"	"annotatorId"
0.1002	1	20	0	0	"128=-0.0286, 121=0.0155, 122=0.0348, 2=0.3793"	"0=45.0%, 1=40.0%, 2=10.0%, 3=5.0%"	"127"
0.1714	1	20	0	0	"121=0.0146, 122=0.0548, 2=0.6447, 127=-0.0286"	"0=20.0%, 1=15.0%, 2=40.0%, 3=25.0%"	"128"
0.047	1	15	1	15	"216=0.281, 150=0.2278, 49=0.049, 48=0.0, 76=-0.3231"	"0=80.0%, 1=20.0%, 2=0.0%, 3=0.0%"	"220"
0.3764	1	20	0	0	"93=0.6698, 95=0.2418, 4=0.4839, 117=-0.0225, 96=0.5092"	"0=90.0%, 1=0.0%, 2=10.0%, 3=0.0%"	"118"
-0.1017	1	25	0	0	"49=0.1692, 43=-0.5019, 4=0.0277"	"0=4.0%, 1=24.0%, 2=52.0%, 3=20.0%"	"59"
0.3157	1	25	0	0	"57=0.2414, 4=0.1977, 50=0.508"	"0=36.0%, 1=44.0%, 2=20.0%, 3=0.0%"	"58"
0.2963	1	25	0	0	"50=0.717, 51=0.1469, 4=0.1975, 49=0.1239"	"0=0.0%, 1=72.0%, 2=4.0%, 3=24.0%"	"55"
0.1765	1	25	0	0	"58=0.2414, 50=0.1721, 4=0.1161"	"0=72.0%, 1=20.0%, 2=0.0%, 3=8.0%"	"57"
0.0308	1	25	0	0	"58=0.0984, 57=-0.006, 50=0.0405, 4=-0.0098"	"0=44.0%, 1=24.0%, 2=28.0%, 3=4.0%"	"56"
0.1428	2	50	0	0	"55=0.1469, 50=0.247, 4=0.029, 49=0.1482"	"0=8.0%, 1=40.0%, 2=38.0%, 3=14.0%"	"51"
0.218	9	212	0	0	"66=0.184, 58=0.508, 48=0.53, 49=0.101, 55=0.717, 57=0.1721, 67=0.561, 51=0.247, 43=0.3, 53=0.1817, 61=0.2947, 62=0.1554, 2=0.0059, 4=-0.0502, 71=0.0414, 70=0.0292, 68=0.1282, 69=-0.2762, 65=0.3122"	"0=13.2%, 1=50.0%, 2=25.0%, 3=11.8%"	"50"
0.3029	2	40	0	0	"50=0.1817, 131=0.4242, 2=0.5022, 4=0.5427, 49=-0.1363"	"0=70.0%, 1=12.5%, 2=7.5%, 3=10.0%"	"53"
0.3543	1	15	0	0	"202=0.6071, 4=0.1569, 179=0.2988"	"0=93.3%, 1=6.7%, 2=0.0%, 3=0.0%"	"201"
0.4269	11	165	1	15	"201=0.2988, 202=0.8217, 205=0.3994, 48=0.1241, 207=0.5082, 206=0.5172, 209=0.0518, 194=0.868, 49=0.519, 43=0.3597, 62=-0.0967, 2=0.529, 4=0.2078, 158=0.3971, 68=0.5769, 131=0.3909, 100=0.7273, 180=0.4841"	"0=70.9%, 1=17.6%, 2=9.1%, 3=2.4%"	"179"
0.0651	1	15	0	0	"131=0.0318, 2=0.0717, 4=0.0916"	"0=20.0%, 1=20.0%, 2=20.0%, 3=40.0%"	"195"
0.5884	1	15	0	0	"2=0.3879, 43=0.5094, 179=0.868"	"0=80.0%, 1=6.7%, 2=0.0%, 3=13.3%"	"194"
-0.0559	5	75	0	0	"201=0.2896, 202=0.0724, 48=-0.2803, 53=-0.3619, 131=-0.0108, 2=0.1216, 4=-0.2116, 179=-0.0664"	"0=22.7%, 1=18.7%, 2=5.3%, 3=53.3%"	"197"
0.3543	1	15	0	0	"177=0.2923, 2=0.3275, 48=0.4432"	"0=13.3%, 1=40.0%, 2=33.3%, 3=13.3%"	"178"
0.5233	2	30	0	0	"68=0.3211, 2=0.2496, 4=0.5899, 48=0.6421, 204=0.814"	"0=46.7%, 1=30.0%, 2=0.0%, 3=23.3%"	"203"
0.4682	1	15	0	0	"131=0.1909, 2=0.4866, 4=0.3525, 48=0.8427"	"0=60.0%, 1=13.3%, 2=20.0%, 3=6.7%"	"192"
0.1666	6	116	0	0	"123=0.5562, 48=-0.0198, 158=-0.0015, 120=0.3514, 2=0.0523, 168=0.0, 4=0.5545, 165=0.0145, 94=0.2705, 96=-0.1121"	"0=24.1%, 1=44.8%, 2=26.7%, 3=4.3%"	"115"
0.3978	1	20	0	0	"112=-0.1612, 4=0.4788, 113=0.6808, 96=0.5929"	"0=45.0%, 1=20.0%, 2=20.0%, 3=15.0%"	"114"
0.2063	1	20	0	0	"67=0.0, 64=0.4359, 4=0.1178, 49=0.2714"	"0=70.0%, 1=20.0%, 2=10.0%, 3=0.0%"	"88"
0.1468	1	20	0	0	"75=-0.0747, 81=0.3561, 64=0.1001, 49=0.2057"	"0=25.0%, 1=30.0%, 2=15.0%, 3=30.0%"	"89"
0.0424	2	40	0	0	"146=0.0459, 145=-0.2313, 110=0.165, 139=-0.3328, 96=-0.1569, 93=0.6283, 4=0.1784"	"0=37.5%, 1=32.5%, 2=17.5%, 3=12.5%"	"111"
0.1812	1	20	0	0	"93=0.3126, 4=0.2144, 96=0.0167"	"0=40.0%, 1=25.0%, 2=0.0%, 3=35.0%"	"110"
0.4559	1	20	0	0	"114=0.6808, 112=0.209, 4=0.4979, 96=0.4359"	"0=45.0%, 1=5.0%, 2=40.0%, 3=10.0%"	"113"
0.1362	1	20	0	0	"114=-0.1612, 4=0.2094, 113=0.209, 96=0.2876"	"0=40.0%, 1=20.0%, 2=20.0%, 3=20.0%"	"112"
0.2338	3	60	0	0	"49=0.1578, 117=0.2325, 2=0.2737, 124=0.0, 4=0.4313, 126=0.2157, 83=0.4615, 81=0.0978"	"0=85.0%, 1=13.3%, 2=1.7%, 3=0.0%"	"82"
0.2629	1	20	0	0	"82=0.4615, 81=0.2654, 4=0.2022, 49=0.1225"	"0=50.0%, 1=20.0%, 2=20.0%, 3=10.0%"	"83"
